HumanTime_MS,UnixTimestamp,Value
20:47:34.031,1770839254.031428,1300.95
20:47:35.111,1770839255.1118588,1086.52
20:47:36.189,1770839256.1898365,5131.34
20:47:37.269,1770839257.2693028,1234.41
20:47:38.349,1770839258.3495374,272.48
20:47:39.429,1770839259.4295917,334.84
20:47:40.510,1770839260.5108798,308.90
20:47:41.590,1770839261.5905054,335.17
20:47:42.670,1770839262.6708663,335.95
20:47:43.750,1770839263.7505236,271.22
20:47:44.830,1770839264.8304403,311.92
20:47:45.910,1770839265.910482,305.01
20:47:46.990,1770839266.9904895,270.00
20:47:48.070,1770839268.070507,297.68
20:47:49.150,1770839269.1506152,317.44
20:47:50.230,1770839270.2304673,262.48
20:47:51.310,1770839271.3104975,352.50
20:47:52.390,1770839272.3904746,308.80
20:47:53.470,1770839273.470575,327.43
20:47:54.550,1770839274.5505092,339.98
20:47:55.630,1770839275.6302004,295.93
20:47:56.710,1770839276.7104568,297.99
20:47:57.790,1770839277.7902277,273.21
